Climate,SoilType,WaterLevel,LandSize,PlantName,FertilizerName,DiseasesName,MedicineName
Cold,Loamy,low,3.27,Drumstick (murungai),Vermicompost,Blight,Sulfur Spray
Summer,Black Soil,high,0.81,Drumstick (murungai),Farmyard Manure,Rust,Neem Oil
Winter,Clay,high,0.98,Drumstick (murungai),Urea,Root Rot,Carbendazim
Spring,Sandy,low,2.26,Drumstick (murungai),Bone Meal,Root Rot,Trichoderma
Summer,Red Soil,low,3.58,Drumstick (murungai),Vermicompost,Blight,Carbendazim
Winter,Sandy,medium,1.92,Drumstick (murungai),Compost,Wilt,Carbendazim
Spring,Red Soil,low,1.76,Drumstick (murungai),NPK,Powdery Mildew,Neem Oil
Winter,Silt,low,3.5,Drumstick (murungai),Bone Meal,Rust,Copper Fungicide
Spring,Sandy,high,2.14,Drumstick (murungai),Farmyard Manure,Powdery Mildew,Trichoderma
Rainy (Monsoon),Clay,high,1.93,Drumstick (murungai),Urea,Wilt,Trichoderma
Cold,Silt,medium,3.79,Ivy Gourd(Kovakkai) ,Urea,Root Rot,Carbendazim
Cold,Clay,high,2.34,Ivy Gourd(Kovakkai) ,Compost,Blight,Carbendazim
Rainy (Monsoon),Red Soil,low,3.6,Ivy Gourd(Kovakkai) ,Bone Meal,Root Rot,Trichoderma
Rainy (Monsoon),Clay,medium,4.9,Ivy Gourd(Kovakkai) ,Vermicompost,Leaf Spot,Sulfur Spray
Cold,Black Soil,low,4.13,Ivy Gourd(Kovakkai) ,Bone Meal,Leaf Spot,Neem Oil
Winter,Sandy,high,4.59,Ivy Gourd(Kovakkai) ,Compost,Wilt,Copper Fungicide
Rainy (Monsoon),Red Soil,low,2.91,Ivy Gourd(Kovakkai) ,NPK,Blight,Copper Fungicide
Cold,Sandy,high,4.28,Ivy Gourd(Kovakkai) ,Bone Meal,Leaf Spot,Sulfur Spray
Cold,Clay,low,4.75,Ivy Gourd(Kovakkai) ,Vermicompost,Blight,Trichoderma
Summer,Red Soil,high,1.26,Ivy Gourd(Kovakkai) ,NPK,Wilt,Neem Oil
Winter,Silt,low,1.75,Snake Gourd (pudalai),Farmyard Manure,Powdery Mildew,Chlorothalonil
Spring,Red Soil,medium,2.42,Snake Gourd (pudalai),Farmyard Manure,Blight,Chlorothalonil
Summer,Clay,low,4.03,Snake Gourd (pudalai),Bone Meal,Powdery Mildew,Copper Fungicide
Summer,Black Soil,medium,2.29,Snake Gourd (pudalai),Farmyard Manure,Wilt,Chlorothalonil
Summer,Loamy,low,4.41,Snake Gourd (pudalai),Bone Meal,Wilt,Neem Oil
Rainy (Monsoon),Sandy,low,2.23,Snake Gourd (pudalai),Compost,Wilt,Trichoderma
Rainy (Monsoon),Loamy,medium,3.38,Snake Gourd (pudalai),Farmyard Manure,Leaf Spot,Neem Oil
Cold,Sandy,medium,2.07,Snake Gourd (pudalai),Bone Meal,Leaf Spot,Copper Fungicide
Summer,Clay,medium,2.03,Snake Gourd (pudalai),Vermicompost,Leaf Spot,Neem Oil
Rainy (Monsoon),Loamy,medium,1.99,Snake Gourd (pudalai),NPK,Blight,Carbendazim
Cold,Black Soil,low,3.61,Ash Gourd (vellarikai),Bone Meal,Wilt,Neem Oil
Winter,Silt,high,3.35,Ash Gourd (vellarikai),NPK,Powdery Mildew,Sulfur Spray
Cold,Silt,low,4.8,Ash Gourd (vellarikai),NPK,Powdery Mildew,Carbendazim
Spring,Silt,low,1.25,Ash Gourd (vellarikai),Vermicompost,Wilt,Carbendazim
Summer,Red Soil,low,4.53,Ash Gourd (vellarikai),Urea,Rust,Sulfur Spray
Cold,Loamy,low,1.38,Ash Gourd (vellarikai),Compost,Wilt,Copper Fungicide
